OSEBuildingID	%NaturalGas(kBtu)	%SteamUse(kBtu)	BuildingType	NumberofBuildings	NumberofFloors	PropertyGFATotal	ENERGYSTARScore	SourceEUI(kBtu/sf)	SiteEnergyUse(kBtu)	TotalGHGEmissions	GHGEmissionsIntensity	tranche_date	BuildingAge	groups_neighborhood	groups_PrimaryPropertyType	GFABuildingRate
29	0.3430167520316612	-5.199337582605575	NonResidential	-5.199337582605575	1.0481072891215324	0.528123899954429	0.8295139838318174	0.13351313739201764	0.24652431963287422	0.39401280655086773	0.12338326650744524	tranche_date4	15	North	Various	-1.4049829721145548
30	1.0291495923602134	-5.199337582605575	NonResidential	-5.199337582605575	1.2253566257226682	0.8164550245572727	-0.13858315006072774	0.37117220321910516	0.9927594153891339	1.377322889313357	1.1188398833690048	tranche_date1	88	Various	Various	5.19933758270342
31	-5.199337582605575	-5.199337582605575	NonResidential	-5.199337582605575	-0.25905710256854775	0.335141268045264	-0.13858315006072774	-0.9633357795730053	-0.6013309696253113	-1.161921894358711	-1.4974794951902486	tranche_date1	86	Various	Various	5.19933758270342
32	2.532482500106027	-5.199337582605575	NonResidential	-5.199337582605575	1.321385838598872	0.9768612898067034	-0.13858315006072774	-1.0351449943728248	0.4766142503526638	1.0798151529300686	0.5275870576005682	tranche_date3	25	Various	Various	-0.9902918324654699
33	0.692682140875867	-5.199337582605575	NonResidential	-5.199337582605575	1.4314384013851016	1.0378711148684563	-0.7606037360681944	0.45192583986161555	0.9750680796233421	1.2693037897013724	0.660367479703957	tranche_date4	15	Various	Various	-1.0570193682203533
35	0.633757586427349	-5.199337582605575	NonResidential	-5.199337582605575	0.8224485747698438	0.35010550344665914	-0.7606037360681944	0.6172434684090456	0.3590550466731215	0.6113818328786661	0.639003821585662	tranche_date2	38	Various	Various	-1.0999815572975613
38	1.3655919932195406	-5.199337582605575	NonResidential	-5.199337582605575	0.23058751152675497	0.5129168435372765	-0.13858315006072774	-0.3689337292065814	0.3101427389882347	0.7489427661532797	0.6091342995185643	tranche_date1	110	Various	Various	5.19933758270342
40	0.8771628483089935	-5.199337582605575	NonResidential	-5.199337582605575	0.5693210610934747	0.4730008103693119	-1.2634908701182217	0.27668248143583757	0.6291929539652	0.9512225677082483	0.9849486421130661	tranche_date3	22	North	Various	5.19933758270342
41	-0.22316225275083304	-5.199337582605575	NonResidential	-5.199337582605575	-0.25905710256854775	0.7165811208009105	-0.13858315006072774	-1.4631932178544131	-1.8780743978188699	-1.6468548606368496	-2.25635997420314	tranche_date2	61	North	Commerce	5.19933758270342
46	-5.199337582605575	-5.199337582605575	NonResidential	2.119264307529444	-0.25905710256854775	2.0759586348244516	-0.13858315006072774	0.10821183727244707	2.013004841668837	1.2310142732043006	-0.4997736464576177	tranche_date2	55	Various	Commerce	5.19933758270342
